slow;fin.wav;simple
peek;peek.wav;simple
hit;hit.wav;simple
crash2;crash2.wav;simple
crash;crash.wav;simple
vizg;vizg.wav;simple
horn;horn.wav;simple
fin;fin_a.wav;simple
fast;fast.wav;simple
points;points.wav;simple
fast;fast.wav;simple
checkpoint;click_nav.wav;simple
slam;slam.wav;simple
sos;sos.wav;simple
start_a;start_a.wav;simple
start_b;start_b.wav;simple
chik;chik.wav;3d
geser_volna;geser_volna.wav;3d
avto_podnytie;avto_podnytie.wav;3d
avto_razdvig;avto_razdvig.wav;3d
voronca_b;voronca_b.wav;3d
beer_fara;beer_fara.wav;3d
enter_sumrak;enter_sumrak.wav;3d
text;done.wav;simple
factory_exp;exp3.wav;3d
factory_exp2;exp3.wav;3d
thunder;thunder.wav;3d
thunder2;thunder.wav;3d
bonus_fast;fast.wav;3d
bonus_slow;slow.wav;3d
bonus_minus;minus.wav;3d
bonus_plus;plus.wav;3d
airplane;samolet.wav;3d
airplane_exp;samolet_boom.wav;3d
forcewall;forcewall.wav;3d
nitro;semen_nitro.wav;3d
change_weapon;reload.wav;simple
undo_weapon;undo.wav;simple
button_click;chik.wav;simple
button_click2;click.wav;simple
